ma_don,san_pham,so_luong,don_gia,kenh,tinh_tp,ngay,thanh_tien
DH00570,Bàn phím,3,450000,Online,Khánh Hòa,2024-10-28,1350000
DH00136,Webcam,3,890000,Cửa hàng,Cần Thơ,2024-05-17,2670000
DH00361,Chuột,3,250000,Cửa hàng,Bình Dương,2024-02-14,750000
DH00865,Tai nghe,5,690000,Online,Lâm Đồng,2024-03-01,3450000
DH00468,Tai nghe,1,690000,Cửa hàng,Bình Dương,2024-08-23,690000
DH00135,Màn hình,4,3200000,Cửa hàng,Đà Nẵng,2024-02-13,12800000
DH00248,Ổ cứng SSD,3,1450000,Cửa hàng,TP. Hồ Chí Minh,2024-07-04,4350000
DH00301,Bàn phím,3,450000,Cửa hàng,Đà Nẵng,2024-03-24,1350000
DH00124,Tai nghe,2,690000,Online,Khánh Hòa,2024-12-20,1380000
DH00096,Màn hình,3,3200000,Cửa hàng,Hà Nội,2024-03-05,9600000
DH00435,Ổ cứng SSD,1,1450000,Online,Đồng Nai,2024-06-16,1450000
DH00607,Ổ cứng SSD,4,1450000,Online,Cần Thơ,2024-07-21,5800000
DH00632,Tai nghe,5,690000,Online,Cần Thơ,2024-02-02,3450000
DH00801,Chuột,3,250000,Online,Bình Dương,2024-08-06,750000
DH00420,Màn hình,4,3200000,Online,Lâm Đồng,2024-02-09,12800000
DH00372,Bàn phím,4,450000,Cửa hàng,Đồng Nai,2024-02-06,1800000
DH00005,Tai nghe,4,690000,Cửa hàng,Bình Dương,2024-05-27,2760000
DH00373,Webcam,4,890000,Cửa hàng,Khánh Hòa,2024-10-11,3560000
DH00542,Bàn phím,3,450000,Online,Khánh Hòa,2024-05-27,1350000
DH00222,Bàn phím,4,450000,Cửa hàng,Khánh Hòa,2024-06-19,1800000
DH00483,Ổ cứng SSD,4,1450000,Cửa hàng,Khánh Hòa,2024-07-16,5800000
DH00496,Ổ cứng SSD,4,1450000,Cửa hàng,Bình Dương,2024-02-12,5800000
DH00105,Màn hình,2,3200000,Online,Đà Nẵng,2024-08-30,6400000
DH00482,Chuột,3,250000,Online,Cần Thơ,2024-01-31,750000
DH00244,Màn hình,5,3200000,Online,Không rõ,2024-02-29,16000000
DH00783,Chuột,2,250000,Online,Đà Nẵng,2024-07-28,500000
DH00501,Bàn phím,5,450000,Cửa hàng,Bình Dương,2024-05-03,2250000
DH00857,Ổ cứng SSD,4,1450000,Cửa hàng,Hà Nội,2024-01-10,5800000
DH00669,Ổ cứng SSD,1,1450000,Cửa hàng,Đồng Nai,2024-02-11,1450000
DH00165,Tai nghe,3,690000,Cửa hàng,TP. Hồ Chí Minh,2024-03-31,2070000
DH00057,Bàn phím,5,450000,Online,TP. Hồ Chí Minh,2024-02-11,2250000
DH00531,Chuột,3,250000,Online,Lâm Đồng,2024-10-05,750000
DH00537,Webcam,5,890000,Cửa hàng,Lâm Đồng,2024-03-23,4450000
DH00296,Bàn phím,1,450000,Cửa hàng,Bình Dương,2024-02-11,450000
DH00362,Webcam,4,890000,Cửa hàng,Cần Thơ,2024-07-14,3560000
DH00325,Ổ cứng SSD,2,1450000,Cửa hàng,Bình Dương,2024-11-23,2900000
DH00779,Ổ cứng SSD,2,1450000,Cửa hàng,Bình Dương,2024-01-12,2900000
DH00443,Ổ cứng SSD,5,1450000,Online,Lâm Đồng,2024-05-19,7250000
DH00058,Bàn phím,1,450000,Online,Hà Nội,2024-06-24,450000
DH00551,Ổ cứng SSD,3,1450000,Online,Hà Nội,2024-10-28,4350000
DH00122,Chuột,4,250000,Cửa hàng,Hà Nội,2024-09-10,1000000
DH00637,Bàn phím,4,450000,Online,Khánh Hòa,2024-12-24,1800000
DH00149,Bàn phím,5,450000,Cửa hàng,Bình Dương,2024-10-13,2250000
DH00094,Tai nghe,1,690000,Cửa hàng,Đà Nẵng,2024-11-19,690000
DH00233,Màn hình,2,3200000,Online,Hà Nội,2024-08-06,6400000
DH00762,Tai nghe,1,690000,Online,Cần Thơ,2024-11-11,690000
DH00326,Webcam,3,890000,Online,Khánh Hòa,2024-11-24,2670000
DH00476,Chuột,2,250000,Online,Hà Nội,2024-12-29,500000
DH00266,Webcam,1,890000,Online,Lâm Đồng,2024-10-21,890000
DH00883,Ổ cứng SSD,5,1450000,Cửa hàng,Cần Thơ,2024-03-05,7250000
DH00424,Tai nghe,1,690000,Cửa hàng,Đồng Nai,2024-01-23,690000
DH00376,Màn hình,4,3200000,Online,Bình Dương,2024-02-22,12800000
DH00780,Bàn phím,2,450000,Cửa hàng,Bình Dương,2024-01-25,900000
DH00462,Chuột,1,250000,Online,Đà Nẵng,2024-05-28,250000
DH00083,Tai nghe,4,690000,Online,Đồng Nai,2024-03-01,2760000
DH00484,Webcam,4,890000,Online,TP. Hồ Chí Minh,2024-03-04,3560000
DH00682,Webcam,1,890000,Online,Cần Thơ,2024-09-13,890000
DH00312,Webcam,3,890000,Cửa hàng,Hà Nội,2024-01-31,2670000
DH00437,Chuột,5,250000,Cửa hàng,Không rõ,2024-10-19,1250000
DH00272,Màn hình,3,3200000,Online,Cần Thơ,2024-05-13,9600000
DH00410,Tai nghe,4,690000,Cửa hàng,Lâm Đồng,2024-04-22,2760000
DH00895,Tai nghe,3,690000,Cửa hàng,Hà Nội,2024-10-26,2070000
DH00027,Ổ cứng SSD,1,1450000,Online,Khánh Hòa,2024-04-21,1450000
DH00650,Ổ cứng SSD,5,1450000,Online,Không rõ,2024-06-22,7250000
DH00869,Webcam,3,890000,Online,TP. Hồ Chí Minh,2024-06-24,2670000
DH00394,Chuột,5,250000,Online,Không rõ,2024-05-09,1250000
DH00760,Chuột,4,250000,Online,TP. Hồ Chí Minh,2024-09-04,1000000
DH00768,Chuột,5,250000,Cửa hàng,Đồng Nai,2024-02-18,1250000
DH00446,Chuột,3,250000,Cửa hàng,Cần Thơ,2024-11-23,750000
DH00538,Ổ cứng SSD,2,1450000,Cửa hàng,Hà Nội,2024-08-31,2900000
DH00529,Bàn phím,5,450000,Online,Bình Dương,2024-09-11,2250000
DH00074,Tai nghe,5,690000,Cửa hàng,Lâm Đồng,2024-06-15,3450000
DH00202,Ổ cứng SSD,1,1450000,Cửa hàng,Cần Thơ,2024-06-10,1450000
DH00822,Ổ cứng SSD,2,1450000,Cửa hàng,Đồng Nai,2024-05-24,2900000
DH00189,Tai nghe,3,690000,Online,TP. Hồ Chí Minh,2024-02-29,2070000
DH00683,Chuột,4,250000,Online,Bình Dương,2024-08-06,1000000
DH00294,Ổ cứng SSD,4,1450000,Online,Khánh Hòa,2024-01-11,5800000
DH00097,Tai nghe,1,690000,Cửa hàng,Cần Thơ,2024-10-27,690000
DH00473,Chuột,3,250000,Cửa hàng,Không rõ,2024-11-11,750000
DH00571,Webcam,2,890000,Online,Hà Nội,2024-07-06,1780000
DH00040,Webcam,5,890000,Online,Không rõ,2024-01-29,4450000
DH00345,Màn hình,3,3200000,Online,Bình Dương,2024-01-24,9600000
DH00636,Bàn phím,2,450000,Cửa hàng,TP. Hồ Chí Minh,2024-07-21,900000
DH00283,Webcam,5,890000,Cửa hàng,Cần Thơ,2024-12-02,4450000
DH00099,Chuột,3,250000,Online,Không rõ,2024-09-26,750000
DH00180,Bàn phím,3,450000,Online,Lâm Đồng,2024-10-21,1350000
DH00352,Webcam,1,890000,Online,Khánh Hòa,2024-09-18,890000
DH00891,Tai nghe,1,690000,Online,TP. Hồ Chí Minh,2024-04-03,690000
DH00190,Màn hình,5,3200000,Online,Cần Thơ,2024-01-18,16000000
DH00383,Ổ cứng SSD,4,1450000,Cửa hàng,TP. Hồ Chí Minh,2024-03-20,5800000
DH00625,Màn hình,4,3200000,Online,Hà Nội,2024-08-12,12800000
DH00064,Ổ cứng SSD,2,1450000,Online,TP. Hồ Chí Minh,2024-11-02,2900000
DH00454,Màn hình,5,3200000,Cửa hàng,Đà Nẵng,2024-06-05,16000000
DH00353,Webcam,2,890000,Cửa hàng,Bình Dương,2024-08-04,1780000
DH00457,Màn hình,3,3200000,Online,Đồng Nai,2024-02-10,9600000
DH00880,Tai nghe,3,690000,Online,Không rõ,2024-01-06,2070000
DH00514,Ổ cứng SSD,1,1450000,Online,Lâm Đồng,2024-08-21,1450000
DH00693,Ổ cứng SSD,4,1450000,Cửa hàng,Cần Thơ,2024-03-23,5800000
DH00273,Bàn phím,2,450000,Cửa hàng,Bình Dương,2024-09-13,900000
DH00279,Ổ cứng SSD,1,1450000,Cửa hàng,Cần Thơ,2024-12-18,1450000
DH00412,Chuột,2,250000,Online,Cần Thơ,2024-02-28,500000
DH00050,Chuột,2,250000,Online,Cần Thơ,2024-07-18,500000
DH00805,Bàn phím,5,450000,Cửa hàng,TP. Hồ Chí Minh,2024-04-25,2250000
DH00236,Webcam,3,890000,Online,Bình Dương,2024-09-24,2670000
DH00485,Ổ cứng SSD,3,1450000,Online,Lâm Đồng,2024-02-26,4350000
DH00251,Bàn phím,3,450000,Cửa hàng,Lâm Đồng,2024-03-28,1350000
DH00169,Màn hình,3,3200000,Online,TP. Hồ Chí Minh,2024-12-17,9600000
DH00712,Webcam,1,890000,Online,Khánh Hòa,2024-11-25,890000
DH00731,Ổ cứng SSD,2,1450000,Cửa hàng,Không rõ,2024-10-25,2900000
DH00755,Webcam,2,890000,Online,Khánh Hòa,2024-04-07,1780000
DH00218,Màn hình,4,3200000,Online,TP. Hồ Chí Minh,2024-01-26,12800000
DH00192,Màn hình,3,3200000,Cửa hàng,TP. Hồ Chí Minh,2024-02-16,9600000
DH00770,Màn hình,4,3200000,Cửa hàng,Đà Nẵng,2024-05-25,12800000
DH00188,Tai nghe,5,690000,Cửa hàng,Lâm Đồng,2024-08-31,3450000
DH00450,Chuột,5,250000,Online,Đà Nẵng,2024-03-14,1250000
DH00855,Bàn phím,2,450000,Online,Cần Thơ,2024-01-19,900000
DH00498,Chuột,3,250000,Online,Bình Dương,2024-05-20,750000
DH00758,Chuột,5,250000,Online,Bình Dương,2024-03-14,1250000
DH00659,Màn hình,1,3200000,Online,Cần Thơ,2024-11-04,3200000
DH00203,Bàn phím,4,450000,Cửa hàng,Đồng Nai,2024-11-11,1800000
DH00842,Màn hình,3,3200000,Online,Hà Nội,2024-01-10,9600000
DH00408,Chuột,1,250000,Online,Cần Thơ,2024-02-05,250000
DH00275,Chuột,4,250000,Online,Đà Nẵng,2024-04-18,1000000
DH00623,Tai nghe,1,690000,Cửa hàng,Khánh Hòa,2024-03-25,690000
DH00425,Màn hình,1,3200000,Online,Đà Nẵng,2024-09-27,3200000
DH00725,Chuột,5,250000,Online,TP. Hồ Chí Minh,2024-03-24,1250000
DH00784,Ổ cứng SSD,3,1450000,Online,Khánh Hòa,2024-10-05,4350000
DH00532,Màn hình,4,3200000,Online,Đà Nẵng,2024-10-18,12800000
DH00260,Bàn phím,1,450000,Online,TP. Hồ Chí Minh,2024-08-14,450000
DH00853,Webcam,4,890000,Online,Không rõ,2024-01-27,3560000
DH00513,Ổ cứng SSD,2,1450000,Cửa hàng,Khánh Hòa,2024-06-09,2900000
DH00211,Màn hình,5,3200000,Cửa hàng,TP. Hồ Chí Minh,2024-04-05,16000000
DH00739,Bàn phím,1,450000,Cửa hàng,Khánh Hòa,2024-06-05,450000
DH00635,Màn hình,3,3200000,Online,Lâm Đồng,2024-03-07,9600000
DH00844,Màn hình,3,3200000,Online,Lâm Đồng,2024-07-23,9600000
DH00150,Tai nghe,3,690000,Online,Lâm Đồng,2024-08-11,2070000
DH00401,Bàn phím,2,450000,Online,Cần Thơ,2024-02-25,900000
DH00431,Màn hình,3,3200000,Cửa hàng,Khánh Hòa,2024-06-25,9600000
DH00042,Bàn phím,2,450000,Cửa hàng,Cần Thơ,2024-04-04,900000
DH00259,Ổ cứng SSD,3,1450000,Online,Lâm Đồng,2024-04-20,4350000
DH00651,Màn hình,3,3200000,Online,Khánh Hòa,2024-10-15,9600000
DH00456,Màn hình,2,3200000,Online,Đà Nẵng,2024-04-04,6400000
DH00710,Màn hình,5,3200000,Online,Không rõ,2024-11-07,16000000
DH00782,Ổ cứng SSD,5,1450000,Online,TP. Hồ Chí Minh,2024-09-19,7250000
DH00823,Chuột,1,250000,Online,Lâm Đồng,2024-11-15,250000
DH00687,Bàn phím,3,450000,Online,TP. Hồ Chí Minh,2024-03-26,1350000
DH00012,Tai nghe,4,690000,Online,Hà Nội,2024-08-03,2760000
DH00890,Chuột,4,250000,Cửa hàng,TP. Hồ Chí Minh,2024-01-28,1000000
DH00144,Chuột,2,250000,Online,Lâm Đồng,2024-04-04,500000
DH00109,Webcam,1,890000,Online,Đà Nẵng,2024-04-28,890000
DH00388,Bàn phím,1,450000,Online,Bình Dương,2024-04-26,450000
DH00375,Bàn phím,2,450000,Cửa hàng,Đồng Nai,2024-11-15,900000
DH00332,Tai nghe,2,690000,Cửa hàng,Đà Nẵng,2024-02-29,1380000
DH00697,Ổ cứng SSD,3,1450000,Cửa hàng,TP. Hồ Chí Minh,2024-09-28,4350000
DH00300,Tai nghe,5,690000,Online,Khánh Hòa,2024-01-13,3450000
DH00509,Bàn phím,3,450000,Cửa hàng,Hà Nội,2024-06-06,1350000
DH00238,Webcam,1,890000,Online,Đà Nẵng,2024-11-07,890000
DH00585,Ổ cứng SSD,2,1450000,Cửa hàng,Cần Thơ,2024-01-31,2900000
DH00023,Chuột,4,250000,Cửa hàng,Cần Thơ,2024-10-02,1000000
DH00614,Bàn phím,4,450000,Online,TP. Hồ Chí Minh,2024-07-04,1800000
DH00752,Webcam,4,890000,Cửa hàng,Đà Nẵng,2024-03-01,3560000
DH00341,Ổ cứng SSD,4,1450000,Cửa hàng,Cần Thơ,2024-04-09,5800000
DH00335,Ổ cứng SSD,1,1450000,Cửa hàng,Khánh Hòa,2024-12-15,1450000
DH00337,Tai nghe,2,690000,Online,Khánh Hòa,2024-07-29,1380000
DH00108,Bàn phím,4,450000,Online,Không rõ,2024-11-08,1800000
DH00792,Ổ cứng SSD,4,1450000,Online,TP. Hồ Chí Minh,2024-07-26,5800000
DH00449,Tai nghe,5,690000,Online,Khánh Hòa,2024-10-18,3450000
DH00193,Webcam,3,890000,Online,Hà Nội,2024-04-21,2670000
DH00872,Chuột,5,250000,Online,Đà Nẵng,2024-08-03,1250000
DH00007,Bàn phím,5,450000,Online,Bình Dương,2024-04-21,2250000
DH00308,Tai nghe,4,690000,Online,Lâm Đồng,2024-12-21,2760000
DH00738,Ổ cứng SSD,3,1450000,Online,Hà Nội,2024-06-14,4350000
DH00159,Tai nghe,2,690000,Cửa hàng,Đồng Nai,2024-04-21,1380000
DH00599,Chuột,1,250000,Online,Lâm Đồng,2024-03-31,250000
DH00256,Tai nghe,4,690000,Online,Đồng Nai,2024-03-20,2760000
DH00615,Webcam,2,890000,Online,Cần Thơ,2024-11-10,1780000
DH00318,Màn hình,3,3200000,Online,Hà Nội,2024-08-16,9600000
DH00680,Bàn phím,2,450000,Online,TP. Hồ Chí Minh,2024-04-02,900000
DH00761,Ổ cứng SSD,1,1450000,Cửa hàng,Lâm Đồng,2024-04-23,1450000
DH00583,Màn hình,3,3200000,Online,Cần Thơ,2024-04-25,9600000
DH00574,Tai nghe,3,690000,Online,Không rõ,2024-08-31,2070000
DH00649,Bàn phím,1,450000,Cửa hàng,Hà Nội,2024-08-04,450000
DH00215,Màn hình,1,3200000,Online,Đồng Nai,2024-03-29,3200000
DH00678,Webcam,3,890000,Cửa hàng,Cần Thơ,,2670000
DH00070,Webcam,3,890000,Cửa hàng,TP. Hồ Chí Minh,2024-07-09,2670000
DH00278,Ổ cứng SSD,5,1450000,Cửa hàng,Đồng Nai,2024-07-16,7250000
DH00358,Tai nghe,1,690000,Online,Khánh Hòa,2024-05-24,690000
DH00403,Bàn phím,3,450000,Online,Đà Nẵng,2024-04-19,1350000
DH00003,Webcam,5,890000,Online,Hà Nội,2024-05-12,4450000
DH00172,Bàn phím,2,450000,Online,Bình Dương,2024-03-03,900000
DH00786,Ổ cứng SSD,2,1450000,Cửa hàng,Khánh Hòa,2024-07-21,2900000
DH00900,Ổ cứng SSD,1,1450000,Cửa hàng,Khánh Hòa,2024-05-28,1450000
DH00772,Chuột,1,250000,Cửa hàng,Đồng Nai,2024-10-16,250000
DH00696,Ổ cứng SSD,1,1450000,Online,Lâm Đồng,2024-05-17,1450000
DH00129,Ổ cứng SSD,5,1450000,Cửa hàng,Khánh Hòa,2024-11-18,7250000
DH00886,Màn hình,4,3200000,Online,Cần Thơ,2024-12-08,12800000
DH00539,Ổ cứng SSD,1,1450000,Online,TP. Hồ Chí Minh,2024-02-09,1450000
DH00034,Màn hình,3,3200000,Cửa hàng,TP. Hồ Chí Minh,2024-01-21,9600000
DH00310,Bàn phím,4,450000,Online,Đà Nẵng,2024-10-03,1800000
DH00671,Ổ cứng SSD,2,1450000,Online,Đồng Nai,2024-07-25,2900000
DH00170,Chuột,2,250000,Online,Cần Thơ,2024-12-21,500000
DH00154,Màn hình,1,3200000,Online,Lâm Đồng,2024-10-21,3200000
DH00382,Bàn phím,5,450000,Online,Hà Nội,,2250000
DH00665,Chuột,4,250000,Online,Đà Nẵng,2024-06-16,1000000
DH00414,Webcam,4,890000,Online,Lâm Đồng,2024-11-25,3560000
DH00121,Webcam,1,890000,Online,Đà Nẵng,2024-12-27,890000
DH00795,Webcam,1,890000,Online,Bình Dương,2024-02-06,890000
DH00071,Màn hình,4,3200000,Online,Đồng Nai,2024-04-24,12800000
DH00089,Webcam,5,890000,Online,Lâm Đồng,2024-06-05,4450000
DH00565,Chuột,1,250000,Online,TP. Hồ Chí Minh,2024-11-12,250000
DH00464,Màn hình,1,3200000,Online,Khánh Hòa,2024-02-26,3200000
DH00241,Bàn phím,4,450000,Online,Bình Dương,2024-01-05,1800000
DH00477,Webcam,2,890000,Cửa hàng,Hà Nội,,1780000
DH00118,Màn hình,2,3200000,Online,TP. Hồ Chí Minh,2024-07-30,6400000
DH00763,Bàn phím,4,450000,Online,Cần Thơ,2024-10-25,1800000
DH00075,Webcam,1,890000,Cửa hàng,Lâm Đồng,2024-03-09,890000
DH00740,Màn hình,5,3200000,Cửa hàng,Đồng Nai,2024-02-08,16000000
DH00873,Bàn phím,3,450000,Online,Đà Nẵng,2024-11-06,1350000
DH00804,Bàn phím,1,450000,Online,Đồng Nai,2024-02-05,450000
DH00592,Tai nghe,4,690000,Online,Khánh Hòa,2024-06-25,2760000
DH00356,Webcam,3,890000,Online,Đồng Nai,2024-07-15,2670000
DH00771,Chuột,4,250000,Cửa hàng,Khánh Hòa,2024-02-14,1000000
DH00867,Chuột,1,250000,Online,Đồng Nai,2024-07-01,250000
DH00396,Webcam,4,890000,Online,Đà Nẵng,2024-06-23,3560000
DH00151,Chuột,4,250000,Cửa hàng,Hà Nội,2024-02-04,1000000
DH00533,Ổ cứng SSD,1,1450000,Online,Cần Thơ,2024-06-12,1450000
DH00603,Webcam,1,890000,Online,Không rõ,2024-07-24,890000
DH00181,Chuột,5,250000,Online,TP. Hồ Chí Minh,2024-04-06,1250000
DH00742,Tai nghe,1,690000,Online,TP. Hồ Chí Minh,2024-05-07,690000
DH00269,Chuột,1,250000,Online,Hà Nội,2024-08-07,250000
DH00350,Webcam,1,890000,Online,Đồng Nai,2024-12-22,890000
DH00448,Chuột,4,250000,Online,Đồng Nai,2024-08-07,1000000
DH00307,Webcam,2,890000,Cửa hàng,Đồng Nai,2024-11-03,1780000
DH00699,Webcam,2,890000,Online,Bình Dương,2024-06-08,1780000
DH00258,Bàn phím,2,450000,Cửa hàng,Đồng Nai,2024-07-08,900000
DH00022,Webcam,3,890000,Online,Không rõ,2024-11-12,2670000
DH00811,Màn hình,2,3200000,Online,Đà Nẵng,2024-06-02,6400000
DH00426,Chuột,3,250000,Cửa hàng,Khánh Hòa,2024-03-07,750000
DH00812,Webcam,5,890000,Cửa hàng,Đà Nẵng,2024-03-30,4450000
DH00119,Bàn phím,2,450000,Online,Đà Nẵng,2024-12-12,900000
DH00205,Webcam,1,890000,Cửa hàng,Hà Nội,2024-03-19,890000
DH00572,Chuột,2,250000,Cửa hàng,Lâm Đồng,2024-09-11,500000
DH00098,Bàn phím,3,450000,Cửa hàng,TP. Hồ Chí Minh,2024-11-05,1350000
DH00298,Ổ cứng SSD,1,1450000,Cửa hàng,Bình Dương,2024-08-08,1450000
DH00563,Chuột,5,250000,Online,Khánh Hòa,2024-12-04,1250000
DH00254,Ổ cứng SSD,2,1450000,Cửa hàng,Lâm Đồng,2024-09-11,2900000
DH00428,Màn hình,4,3200000,Cửa hàng,Đà Nẵng,2024-09-20,12800000
DH00714,Ổ cứng SSD,3,1450000,Online,Khánh Hòa,2024-12-12,4350000
DH00110,Chuột,1,250000,Online,Đà Nẵng,2024-06-07,250000
DH00156,Chuột,2,250000,Online,Đồng Nai,2024-02-29,500000
DH00128,Chuột,1,250000,Cửa hàng,TP. Hồ Chí Minh,2024-07-03,250000
DH00788,Bàn phím,3,450000,Online,Khánh Hòa,2024-02-02,1350000
DH00803,Webcam,5,890000,Online,Đồng Nai,2024-01-01,4450000
DH00208,Chuột,3,250000,Cửa hàng,Đà Nẵng,2024-11-29,750000
DH00063,Bàn phím,5,450000,Online,Đồng Nai,2024-10-25,2250000
DH00306,Bàn phím,3,450000,Online,Hà Nội,2024-03-23,1350000
DH00138,Màn hình,1,3200000,Cửa hàng,Không rõ,2024-08-26,3200000
DH00491,Tai nghe,1,690000,Cửa hàng,Hà Nội,2024-01-16,690000
DH00541,Chuột,1,250000,Online,TP. Hồ Chí Minh,2024-08-23,250000
DH00342,Webcam,1,890000,Cửa hàng,Không rõ,2024-01-31,890000
DH00021,Bàn phím,2,450000,Online,Lâm Đồng,2024-09-13,900000
DH00395,Chuột,1,250000,Online,Đồng Nai,2024-05-09,250000
DH00642,Ổ cứng SSD,4,1450000,Online,Bình Dương,2024-04-25,5800000
DH00221,Bàn phím,2,450000,Cửa hàng,Lâm Đồng,2024-09-25,900000
DH00102,Bàn phím,5,450000,Online,Bình Dương,2024-02-18,2250000
DH00774,Tai nghe,2,690000,Online,Cần Thơ,2024-07-05,1380000
DH00720,Webcam,3,890000,Online,Khánh Hòa,2024-04-03,2670000
DH00334,Bàn phím,4,450000,Cửa hàng,Lâm Đồng,2024-03-29,1800000
DH00717,Màn hình,5,3200000,Online,Đà Nẵng,2024-08-20,16000000
DH00224,Màn hình,4,3200000,Online,Cần Thơ,2024-02-02,12800000
DH00618,Webcam,5,890000,Online,Cần Thơ,2024-09-25,4450000
DH00866,Webcam,2,890000,Online,Bình Dương,2024-06-25,1780000
DH00289,Webcam,2,890000,Online,TP. Hồ Chí Minh,2024-11-07,1780000
DH00644,Màn hình,3,3200000,Online,Đà Nẵng,2024-03-03,9600000
DH00536,Màn hình,1,3200000,Online,Lâm Đồng,2024-03-19,3200000
